AQI,station,datetime
47,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-24 09:00:00
29,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-26 18:00:00
44,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-26 19:00:00
48,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-26 20:00:00
48,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-26 21:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
22,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-27 02:00:00
36,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-28 18:00:00
35,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-28 18:00:00
33,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-28 19:00:00
32,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-28 20:00:00
31,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-28 21:00:00
33,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-28 23:00:00
33,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-28 23:00:00
34,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-29 00:00:00
33,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-29 01:00:00
33,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-29 02:00:00
35,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-29 03:00:00
35,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-29 04:00:00
33,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-29 07:00:00
33,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-29 08:00:00
33,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-29 08:00:00
34,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-29 09:00:00
34,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-29 10:00:00
35,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-29 11:00:00
37,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-29 12:00:00
40,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-29 13:00:00
40,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-29 14:00:00
39,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-29 15:00:00
43,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-29 16:00:00
45,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-29 18:00:00
46,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-29 18:00:00
45,"Alandur Bus Depot, Chennai, Chennai, India",2025-03-29 19:00:00
