AQI,station,datetime
175,"Manali Village, Chennai, Chennai, India",2025-03-24 09:00:00
68,"Manali Village, Chennai, Chennai, India",2025-03-26 18:00:00
90,"Manali Village, Chennai, Chennai, India",2025-03-26 19:00:00
111,"Manali Village, Chennai, Chennai, India",2025-03-26 20:00:00
115,"Manali Village, Chennai, Chennai, India",2025-03-26 21:00:00
68,"Manali Village, Chennai, Chennai, India",2025-03-27 13:00:00
68,"Manali Village, Chennai, Chennai, India",2025-03-27 13:00:00
68,"Manali Village, Chennai, Chennai, India",2025-03-27 13:00:00
68,"Manali Village, Chennai, Chennai, India",2025-03-27 13:00:00
68,"Manali Village, Chennai, Chennai, India",2025-03-27 13:00:00
68,"Manali Village, Chennai, Chennai, India",2025-03-27 13:00:00
68,"Manali Village, Chennai, Chennai, India",2025-03-27 13:00:00
159,"Manali Village, Chennai, Chennai, India",2025-03-27 19:00:00
161,"Manali Village, Chennai, Chennai, India",2025-03-27 19:00:00
169,"Manali Village, Chennai, Chennai, India",2025-03-27 20:00:00
175,"Manali Village, Chennai, Chennai, India",2025-03-27 21:00:00
176,"Manali Village, Chennai, Chennai, India",2025-03-27 22:00:00
175,"Manali Village, Chennai, Chennai, India",2025-03-27 23:00:00
168,"Manali Village, Chennai, Chennai, India",2025-03-28 00:00:00
158,"Manali Village, Chennai, Chennai, India",2025-03-28 01:00:00
131,"Manali Village, Chennai, Chennai, India",2025-03-28 02:00:00
102,"Manali Village, Chennai, Chennai, India",2025-03-28 03:00:00
91,"Manali Village, Chennai, Chennai, India",2025-03-28 04:00:00
100,"Manali Village, Chennai, Chennai, India",2025-03-28 07:00:00
86,"Manali Village, Chennai, Chennai, India",2025-03-28 08:00:00
60,"Manali Village, Chennai, Chennai, India",2025-03-28 09:00:00
33,"Manali Village, Chennai, Chennai, India",2025-03-28 10:00:00
28,"Manali Village, Chennai, Chennai, India",2025-03-28 11:00:00
35,"Manali Village, Chennai, Chennai, India",2025-03-28 12:00:00
84,"Manali Village, Chennai, Chennai, India",2025-03-28 13:00:00
93,"Manali Village, Chennai, Chennai, India",2025-03-28 14:00:00
90,"Manali Village, Chennai, Chennai, India",2025-03-28 15:00:00
82,"Manali Village, Chennai, Chennai, India",2025-03-28 16:00:00
54,"Manali Village, Chennai, Chennai, India",2025-03-28 18:00:00
63,"Manali Village, Chennai, Chennai, India",2025-03-28 18:00:00
151,"Manali Village, Chennai, Chennai, India",2025-03-28 19:00:00
163,"Manali Village, Chennai, Chennai, India",2025-03-28 20:00:00
156,"Manali Village, Chennai, Chennai, India",2025-03-28 21:00:00
98,"Manali Village, Chennai, Chennai, India",2025-03-28 23:00:00
99,"Manali Village, Chennai, Chennai, India",2025-03-28 23:00:00
111,"Manali Village, Chennai, Chennai, India",2025-03-29 00:00:00
118,"Manali Village, Chennai, Chennai, India",2025-03-29 01:00:00
107,"Manali Village, Chennai, Chennai, India",2025-03-29 02:00:00
95,"Manali Village, Chennai, Chennai, India",2025-03-29 03:00:00
87,"Manali Village, Chennai, Chennai, India",2025-03-29 04:00:00
71,"Manali Village, Chennai, Chennai, India",2025-03-29 07:00:00
79,"Manali Village, Chennai, Chennai, India",2025-03-29 08:00:00
75,"Manali Village, Chennai, Chennai, India",2025-03-29 08:00:00
31,"Manali Village, Chennai, Chennai, India",2025-03-29 09:00:00
