AQI,station,datetime
107,"Velachery Res. Area, Chennai, Chennai, India",2025-03-24 09:00:00
128,"Velachery Res. Area, Chennai, Chennai, India",2025-03-26 18:00:00
116,"Velachery Res. Area, Chennai, Chennai, India",2025-03-26 19:00:00
102,"Velachery Res. Area, Chennai, Chennai, India",2025-03-26 20:00:00
88,"Velachery Res. Area, Chennai, Chennai, India",2025-03-26 21:00:00
87,"Velachery Res. Area, Chennai, Chennai, India",2025-03-27 13:00:00
87,"Velachery Res. Area, Chennai, Chennai, India",2025-03-27 13:00:00
87,"Velachery Res. Area, Chennai, Chennai, India",2025-03-27 13:00:00
87,"Velachery Res. Area, Chennai, Chennai, India",2025-03-27 13:00:00
87,"Velachery Res. Area, Chennai, Chennai, India",2025-03-27 13:00:00
87,"Velachery Res. Area, Chennai, Chennai, India",2025-03-27 13:00:00
87,"Velachery Res. Area, Chennai, Chennai, India",2025-03-27 13:00:00
162,"Velachery Res. Area, Chennai, Chennai, India",2025-03-27 19:00:00
162,"Velachery Res. Area, Chennai, Chennai, India",2025-03-27 19:00:00
160,"Velachery Res. Area, Chennai, Chennai, India",2025-03-27 20:00:00
155,"Velachery Res. Area, Chennai, Chennai, India",2025-03-27 21:00:00
148,"Velachery Res. Area, Chennai, Chennai, India",2025-03-27 22:00:00
121,"Velachery Res. Area, Chennai, Chennai, India",2025-03-27 23:00:00
124,"Velachery Res. Area, Chennai, Chennai, India",2025-03-28 00:00:00
125,"Velachery Res. Area, Chennai, Chennai, India",2025-03-28 01:00:00
101,"Velachery Res. Area, Chennai, Chennai, India",2025-03-28 02:00:00
99,"Velachery Res. Area, Chennai, Chennai, India",2025-03-28 03:00:00
92,"Velachery Res. Area, Chennai, Chennai, India",2025-03-28 04:00:00
91,"Velachery Res. Area, Chennai, Chennai, India",2025-03-28 07:00:00
92,"Velachery Res. Area, Chennai, Chennai, India",2025-03-28 08:00:00
77,"Velachery Res. Area, Chennai, Chennai, India",2025-03-28 09:00:00
68,"Velachery Res. Area, Chennai, Chennai, India",2025-03-28 10:00:00
108,"Velachery Res. Area, Chennai, Chennai, India",2025-03-28 11:00:00
93,"Velachery Res. Area, Chennai, Chennai, India",2025-03-28 12:00:00
80,"Velachery Res. Area, Chennai, Chennai, India",2025-03-28 13:00:00
73,"Velachery Res. Area, Chennai, Chennai, India",2025-03-28 14:00:00
90,"Velachery Res. Area, Chennai, Chennai, India",2025-03-28 15:00:00
95,"Velachery Res. Area, Chennai, Chennai, India",2025-03-28 16:00:00
92,"Velachery Res. Area, Chennai, Chennai, India",2025-03-28 18:00:00
